# distance [deg], low_sys_1 [cm-2 s-1], low_sys_2, mid_sys_1, mid_sys_2, high_sys_1, high_sys_2
-1.037074148296593279e+00,-2.891136697716997177e-17,7.498961583267608587e-16,-6.722271822227161131e-19,1.721246678346218571e-17,-3.288129410723452176e-58,1.085253300731786768e-21
-1.031062124248496970e+00,-3.077391921346686487e-17,7.989342082920052843e-16,-7.800289020161965077e-19,1.869577690682530501e-17,-6.197347313500393643e-27,1.366577815281647661e-21
-1.025050100200400882e+00,-3.276498450622445151e-17,8.514117627360439880e-16,-9.044899306188856191e-19,2.032954337692232745e-17,-4.753592999284521288e-26,1.733612001511161313e-21
-1.019038076152304573e+00,-3.487095732737281652e-17,9.068532505268326110e-16,-1.046732061176743831e-18,2.209835501067477163e-17,-8.417953777229148705e-26,2.197522714472165131e-21
-1.013026052104208485e+00,-3.705761687406829593e-17,9.654003076168640362e-16,-1.207566448512459859e-18,2.401181256727979693e-17,-1.202917373452644153e-25,2.754528140509879300e-21
-1.007014028056112176e+00,-3.930440844119893201e-17,1.027204889439199092e-15,-1.387668540752402513e-18,2.607926631528776736e-17,-1.680695643948804377e-25,3.418899481090332084e-21
-1.001002004008016089e+00,-4.158549699134048997e-17,1.092430161434314840e-15,-1.587532812606017526e-18,2.830996263928935356e-17,-2.661609391173899493e-25,4.216246627535370332e-21
-9.949899799599198902e-01,-4.388060822458897984e-17,1.161257589970170507e-15,-1.806933732332874623e-18,3.071379088849319255e-17,-7.605575267121848006e-25,5.175951969046205006e-21
-9.889779559118236918e-01,-4.616121327067837456e-17,1.234695187523345357e-15,-2.045866216309076491e-18,3.334279936973801849e-17,-2.299793504581956367e-24,6.385181412687883359e-21
-9.829659318637274934e-01,-4.837593499678529463e-17,1.312212331779479941e-15,-2.303976523636250402e-18,3.616582496394574472e-17,-5.003327681552855115e-24,7.832998975077808809e-21
-9.769539078156312950e-01,-5.053854056691587109e-17,1.394032288265759386e-15,-2.581295294418851573e-18,3.918974521914772722e-17,-8.369372258718811106e-24,9.571837690980357861e-21
-9.709418837675350966e-01,-5.263588286828045832e-17,1.480379774935018616e-15,-2.877429572128882151e-18,4.242457779951494516e-17,-1.472109290978952261e-23,1.163811343005471536e-20
-9.649298597194388982e-01,-5.466063634113213900e-17,1.571491616733953275e-15,-3.191823907372851598e-18,4.588170028616874260e-17,-2.954158271283805582e-23,1.407379013953672464e-20
-9.589178356713426998e-01,-5.660137059951212350e-17,1.667619357007386919e-15,-3.524384231367812510e-18,4.957236812341776933e-17,-5.250815166955793261e-23,1.694810683036169873e-20
-9.529058116232465014e-01,-5.837952776923680730e-17,1.770155278288574565e-15,-3.875172214246613639e-18,5.356406755235919078e-17,-8.158028935022344848e-23,2.053386172466983138e-20
-9.468937875751503030e-01,-6.003788149887217758e-17,1.878587030428373328e-15,-4.244801367849539652e-18,5.783730550575877938e-17,-1.165449558323594924e-22,2.484980765294964130e-20
-9.408817635270541047e-01,-6.155276681938272176e-17,1.993011151792037378e-15,-4.632716326964408573e-18,6.241193980222101743e-17,-1.630377254977389442e-22,2.996208693387011186e-20
-9.348697394789579063e-01,-6.288829028326223578e-17,2.113714069517786134e-15,-5.040432820693962962e-18,6.731795614836449268e-17,-2.391353963235191316e-22,3.595898133278536673e-20
-9.288577154308617079e-01,-6.398216194095243159e-17,2.241010930571640495e-15,-5.469418638859706700e-18,7.259299344648014913e-17,-3.372231257462156377e-22,4.298748116488193261e-20
-9.228456913827655095e-01,-6.458119547606940935e-17,2.375179999381039294e-15,-5.918274641847974095e-18,7.827037286028864610e-17,-4.462555115560882132e-22,5.127236648421398445e-20
-9.168336673346693111e-01,-6.471693138015884936e-17,2.517979080782225908e-15,-6.389582444455550576e-18,8.448688464868026539e-17,-5.925228865398357648e-22,6.140701923459863926e-20
-9.108216432865731127e-01,-6.422841953680705571e-17,2.668540621261231266e-15,-6.886691380089946156e-18,9.122967267627532295e-17,-8.043794123677829486e-22,7.341209681242115575e-20
-9.048096192384769143e-01,-6.290891838593582901e-17,2.827144339617510960e-15,-7.410251779093163824e-18,9.854756883049000537e-17,-1.133274126233578273e-21,8.760541313332684110e-20
-8.987975951903807159e-01,-6.051463032619894010e-17,2.994165216985024079e-15,-7.960089444087057674e-18,1.064981292198400545e-16,-1.485471207650841773e-21,1.042680504209912372e-19
-8.927855711422846285e-01,-5.652397590441961437e-17,3.169976381250493778e-15,-8.534028146035477305e-18,1.151401797883984165e-16,-1.924849339757368863e-21,1.237230392464205049e-19
-8.867735470941884302e-01,-5.089162501086934750e-17,3.354942648376192499e-15,-9.140827889108363591e-18,1.245306886321895879e-16,-2.570965566757982191e-21,1.464771628685424714e-19
-8.807615230460922318e-01,-4.313000604347559535e-17,3.551530541118692572e-15,-9.773288003170918768e-18,1.349172515021498068e-16,-3.416697220392837211e-21,1.741729373381188957e-19
-8.747494989979960334e-01,-3.279659869454197545e-17,3.758932696507698604e-15,-1.042500716514897272e-17,1.462621622886384904e-16,-4.538954702755700242e-21,2.069320642356534856e-19
-8.687374749498998350e-01,-1.938525631279448340e-17,3.977985842726461591e-15,-1.108847002001780459e-17,1.586434617764597784e-16,-5.920473940680638485e-21,2.454245147152498746e-19
-8.627254509018036366e-01,-1.906053092755198194e-18,4.209034309366997987e-15,-1.175281905082559585e-17,1.721291104822680545e-16,-7.637847322279549493e-21,2.905623980371554195e-19
-8.567134268537074382e-01,1.994414926090017135e-17,4.452845863958798784e-15,-1.241180588983072186e-17,1.868047632937030604e-16,-9.922887309519264410e-21,3.434117404356752522e-19
-8.507014028056112398e-01,4.670238636670202524e-17,4.710269426133770637e-15,-1.305256139558994251e-17,2.027669388178471885e-16,-1.279431087682690456e-20,4.051299335523508926e-19
-8.446893787575150414e-01,7.906428420652284292e-17,4.984683801151256978e-15,-1.366125305453834520e-17,2.203919045973511895e-16,-1.646775009910689818e-20,4.797062432393248860e-19
-8.386773547094188430e-01,1.177184978364426110e-16,5.275229842531345349e-15,-1.422255820962360679e-17,2.395968184495240834e-16,-2.103743806037670832e-20,5.673531570554609373e-19
-8.326653306613226446e-01,1.641331368352095541e-16,5.582639656918976327e-15,-1.470343694844129339e-17,2.604755794354354243e-16,-2.662041239511543072e-20,6.698337147449255920e-19
-8.266533066132264462e-01,2.188132300025183497e-16,5.907883506477856977e-15,-1.508853629182236751e-17,2.831377882036894725e-16,-3.356512098244230838e-20,7.894936519430835829e-19
-8.206412825651302478e-01,2.823589953669054197e-16,6.251923919383570004e-15,-1.536142578641969570e-17,3.076987119411708219e-16,-4.173966905162316208e-20,9.288719905636378767e-19
-8.146292585170340494e-01,3.556711072817934974e-16,6.615695163519166758e-15,-1.550090059747291169e-17,3.342761373087538729e-16,-5.156817631316673546e-20,1.090459057368605747e-18
-8.086172344689378511e-01,4.397340867166841972e-16,7.003170518768806313e-15,-1.548164257194858365e-17,3.633632127261338960e-16,-6.350054604947982416e-20,1.283606007406898545e-18
-8.026052104208416527e-01,5.366512438790479078e-16,7.412950945737043506e-15,-1.525214608805433499e-17,3.948325681296989283e-16,-7.761084676148235839e-20,1.508693406686531382e-18
-7.965931863727454543e-01,6.471949153561920704e-16,7.845586860204159101e-15,-1.479121488919565346e-17,4.287741999452700105e-16,-9.429821310614006121e-20,1.768757927267779764e-18
-7.905811623246492559e-01,7.720236947667492085e-16,8.302326966883582026e-15,-1.408114672039252146e-17,4.653613229957717559e-16,-1.143120848088784755e-19,2.068798971189000757e-18
-7.845691382765531685e-01,9.124019903143256035e-16,8.782898663162425273e-15,-1.308998787804734889e-17,5.046773060473553797e-16,-1.374588209849996167e-19,2.413970599759387607e-18
-7.785571142284569701e-01,1.069643088603993875e-15,9.287809762547702606e-15,-1.177757172991059157e-17,5.468653971254964599e-16,-1.640881370489912445e-19,2.809587404349392658e-18
-7.725450901803607717e-01,1.246672090779931611e-15,9.820778329650565889e-15,-1.004892114638946311e-17,5.925519644575618627e-16,-1.946785179062723285e-19,3.273823417231034363e-18
-7.665330661322645733e-01,1.444917533755544577e-15,1.037978790685306599e-14,-7.845167804632543894e-18,6.415937329811173491e-16,-2.296206450285934393e-19,3.808164716038308666e-18
-7.605210420841683749e-01,1.665052843944352636e-15,1.096454083742467791e-14,-5.135182731484231790e-18,6.940543082828428043e-16,-2.697847468701632860e-19,4.418790758089995289e-18
-7.545090180360721765e-01,1.908878785016471997e-15,1.157554807067364429e-14,-1.838973698893235749e-18,7.501184924607067637e-16,-3.160255563183877576e-19,5.114742967626783975e-18
-7.484969939879759782e-01,2.178451031208249675e-15,1.221340596583955363e-14,2.143891815035093940e-18,8.099913469502526246e-16,-3.684985678785613426e-19,5.906697480572851906e-18
-7.424849699398797798e-01,2.477900801118430570e-15,1.287882749226864635e-14,7.035919579788347266e-18,8.738847791787033429e-16,-4.262670224853922671e-19,6.806489183698720935e-18
-7.364729458917835814e-01,2.810211245630953963e-15,1.357634721816724135e-14,1.300821014711039579e-17,9.426903735377272651e-16,-4.906167212745621145e-19,7.846500450608090169e-18
-7.304609218436873830e-01,3.176102762615350766e-15,1.430488395972096483e-14,2.015738727888814873e-17,1.016332538931503312e-15,-5.622687809689326360e-19,9.034103935226577066e-18
-7.244488977955911846e-01,3.578412978243912753e-15,1.506491915728041664e-14,2.870670645733969247e-17,1.094880365009622415e-15,-6.405382385318425206e-19,1.038066516332291829e-17
-7.184368737474949862e-01,4.020431113097373530e-15,1.585928784101257888e-14,3.889842835541353822e-17,1.178764711924469752e-15,-7.263512101794537466e-19,1.190645583535055007e-17
-7.124248496993987878e-01,4.507910375252050773e-15,1.669070008280853061e-14,5.113994404122298067e-17,1.268324539294983215e-15,-8.202940283023193991e-19,1.363222403034185184e-17
-7.064128256513025894e-01,5.046236154365029719e-15,1.756012291699086772e-14,6.587366948579980701e-17,1.363790117280445020e-15,-9.195368669048749289e-19,1.557902794113657232e-17
-7.004008016032063910e-01,5.636494086081094687e-15,1.847503055323433353e-14,8.335928242754940586e-17,1.466482327568473021e-15,-1.024837475783601393e-18,1.780771734753846864e-17
-6.943887775551101926e-01,6.283139845264790435e-15,1.943640114008416972e-14,1.040601174175561836e-16,1.576468937880271139e-15,-1.136029665153984142e-18,2.033187528068771436e-17
